goos: linux
goarch: amd64
pkg: cw
cpu: AMD Ryzen 5 5500U with Radeon Graphics         
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   62613	     16316 ns/op	     836 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   66740	     16389 ns/op	     834 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   66552	     16307 ns/op	     835 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   64771	     16685 ns/op	     835 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   65942	     16344 ns/op	     834 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   65302	     16350 ns/op	     835 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   63788	     16329 ns/op	     836 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   66746	     16497 ns/op	     834 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   63106	     16622 ns/op	     836 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   65667	     16240 ns/op	     835 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   66109	     16568 ns/op	     845 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   62551	     16511 ns/op	     838 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   63162	     16482 ns/op	     839 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   65038	     16408 ns/op	     838 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   66944	     16344 ns/op	     837 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   65438	     17852 ns/op	     837 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   60744	     19401 ns/op	     839 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   62254	     16960 ns/op	     839 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   64870	     16936 ns/op	     838 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   59467	     16882 ns/op	     841 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   64100	     17040 ns/op	     839 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   62186	     16630 ns/op	     839 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   65312	     16809 ns/op	     838 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   63674	     16855 ns/op	     838 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   64030	     16537 ns/op	     838 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   62166	     16543 ns/op	     840 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   61942	     16653 ns/op	     851 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   63081	     16790 ns/op	     840 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   65750	     16715 ns/op	     839 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   63562	     16880 ns/op	     840 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   65348	     16746 ns/op	     839 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   60712	     16793 ns/op	     840 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   61221	     16652 ns/op	     840 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   62806	     16590 ns/op	     840 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   65566	     16693 ns/op	     840 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   62706	     16747 ns/op	     840 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   64394	     16687 ns/op	     840 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   65260	     16828 ns/op	     839 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   61947	     16737 ns/op	     840 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1200_workers-12        	   65418	     16689 ns/op	     839 B/op	      16 allocs/op
PASS
ok  	cw	231.906s
