goos: linux
goarch: amd64
pkg: cw
cpu: AMD Ryzen 5 5500U with Radeon Graphics         
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   68292	     16013 ns/op	     824 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   63340	     16066 ns/op	     826 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   67561	     15972 ns/op	     824 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   65919	     16063 ns/op	     825 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   67450	     15947 ns/op	     824 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   66596	     15891 ns/op	     824 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   69910	     16324 ns/op	     823 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   68089	     16072 ns/op	     824 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   67082	     15989 ns/op	     824 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   65727	     16036 ns/op	     825 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   65120	     15898 ns/op	     825 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   68382	     16145 ns/op	     824 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   65704	     15872 ns/op	     825 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   63808	     16180 ns/op	     829 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   63865	     15954 ns/op	     829 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   66322	     16208 ns/op	     828 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   66754	     16095 ns/op	     828 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   64634	     16270 ns/op	     828 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   65176	     16135 ns/op	     828 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   67269	     16187 ns/op	     828 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   66434	     16160 ns/op	     828 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   64982	     15986 ns/op	     829 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   66195	     16122 ns/op	     828 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   66321	     16188 ns/op	     828 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   65744	     16076 ns/op	     828 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   67233	     16189 ns/op	     827 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   64184	     16129 ns/op	     829 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   66106	     16359 ns/op	     828 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   65833	     16048 ns/op	     835 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   65047	     16276 ns/op	     832 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   65650	     16020 ns/op	     832 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   65452	     16439 ns/op	     832 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   64782	     16058 ns/op	     832 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   63111	     16226 ns/op	     833 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   66643	     16089 ns/op	     831 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   64474	     16306 ns/op	     832 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   66253	     16317 ns/op	     831 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   65446	     16280 ns/op	     831 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   66178	     16222 ns/op	     831 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   64084	     16231 ns/op	     832 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   65780	     16206 ns/op	     832 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   65811	     16077 ns/op	     831 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   63939	     16186 ns/op	     832 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   65308	     16855 ns/op	     842 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   66933	     16132 ns/op	     834 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   67171	     16520 ns/op	     834 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   66910	     16307 ns/op	     834 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   65683	     16418 ns/op	     835 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   65655	     16418 ns/op	     835 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   65004	     16103 ns/op	     835 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   65983	     16426 ns/op	     834 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   63549	     16629 ns/op	     835 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   62634	     16543 ns/op	     836 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   67087	     16166 ns/op	     834 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   65692	     16557 ns/op	     834 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   66207	     16299 ns/op	     835 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   64047	     16508 ns/op	     835 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   64910	     16539 ns/op	     835 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1100_workers-12        	   66044	     16513 ns/op	     845 B/op	      16 allocs/op
