goos: linux
goarch: amd64
pkg: cw
cpu: AMD Ryzen 5 5500U with Radeon Graphics         
BenchmarkDBWithConcurrencyNEW/600_workers-12         	   48738	     23497 ns/op	     828 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/650_workers-12         	   50396	     23212 ns/op	     836 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/650_workers-12         	   46393	     22975 ns/op	     831 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/650_workers-12         	   49722	     24687 ns/op	     829 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/650_workers-12         	   50371	     22744 ns/op	     829 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/650_workers-12         	   52508	     23167 ns/op	     828 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/650_workers-12         	   51909	     23140 ns/op	     829 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/650_workers-12         	   48982	     22681 ns/op	     830 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/650_workers-12         	   52191	     22393 ns/op	     828 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/650_workers-12         	   47808	     22954 ns/op	     831 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/650_workers-12         	   52081	     23936 ns/op	     828 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   49090	     22683 ns/op	     832 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   47944	     22255 ns/op	     832 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   50172	     23091 ns/op	     831 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   54344	     22989 ns/op	     829 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   49501	     22635 ns/op	     832 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   44238	     24559 ns/op	     835 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   51312	     22861 ns/op	     831 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   45660	     26884 ns/op	     834 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   43164	     24742 ns/op	     836 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/700_workers-12         	   38199	     31204 ns/op	     840 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/750_workers-12         	   36936	     31549 ns/op	     845 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/750_workers-12         	   42240	     30714 ns/op	     839 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/750_workers-12         	   45399	     25190 ns/op	     836 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/750_workers-12         	   53210	     23728 ns/op	     832 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/750_workers-12         	   45633	     22403 ns/op	     836 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/750_workers-12         	   46609	     27280 ns/op	     836 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/750_workers-12         	   56529	     23124 ns/op	     830 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/750_workers-12         	   49821	     24465 ns/op	     834 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/750_workers-12         	   53401	     23575 ns/op	     832 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/750_workers-12         	   55327	     24110 ns/op	     831 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   42290	     24631 ns/op	     842 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   48849	     28256 ns/op	     837 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   43754	     27868 ns/op	     840 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   45409	     24791 ns/op	     839 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   41343	     28808 ns/op	     843 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   50713	     25742 ns/op	     835 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   41923	     26270 ns/op	     842 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   47373	     25160 ns/op	     837 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   38391	     26778 ns/op	     846 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   45823	     29712 ns/op	     838 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/850_workers-12         	   45015	     26196 ns/op	     842 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/850_workers-12         	   43586	     27937 ns/op	     843 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/850_workers-12         	   39837	     29826 ns/op	     846 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/850_workers-12         	   38744	     33826 ns/op	     847 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/850_workers-12         	   42764	     28201 ns/op	     844 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/850_workers-12         	   33661	     34765 ns/op	     855 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/850_workers-12         	   38088	     27020 ns/op	     849 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/850_workers-12         	   43597	     24677 ns/op	     842 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/850_workers-12         	   45354	     27224 ns/op	     842 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/850_workers-12         	   42924	     27212 ns/op	     844 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   45222	     26504 ns/op	     844 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   43219	     24854 ns/op	     846 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   47112	     24490 ns/op	     842 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   43327	     25334 ns/op	     845 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   44072	     24757 ns/op	     845 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   42133	     24830 ns/op	     846 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   41860	     25397 ns/op	     847 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   42512	     29145 ns/op	     846 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   43946	     25624 ns/op	     845 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   43898	     24695 ns/op	     845 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/950_workers-12         	   45752	     24316 ns/op	     846 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/950_workers-12         	   47116	     25140 ns/op	     844 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/950_workers-12         	   43543	     26245 ns/op	     848 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/950_workers-12         	   44986	     24769 ns/op	     846 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/950_workers-12         	   43920	     26090 ns/op	     847 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/950_workers-12         	   41799	     24558 ns/op	     850 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/950_workers-12         	   41659	     25205 ns/op	     850 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/950_workers-12         	   49532	     24054 ns/op	     843 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/950_workers-12         	   42112	     24276 ns/op	     849 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/950_workers-12         	   42090	     25571 ns/op	     849 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   41938	     28835 ns/op	     859 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   45903	     24119 ns/op	     848 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   40114	     25766 ns/op	     854 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   45643	     24050 ns/op	     848 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   43558	     25131 ns/op	     850 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   43323	     25235 ns/op	     850 B/op	      16 allocs/op
