goos: linux
goarch: amd64
pkg: cw
cpu: AMD Ryzen 5 5500U with Radeon Graphics         
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   41941	     24360 ns/op	     842 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   43452	     24578 ns/op	     840 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   41054	     24789 ns/op	     843 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   44167	     24512 ns/op	     840 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   43842	     25265 ns/op	     840 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   41362	     25473 ns/op	     843 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   41739	     25895 ns/op	     842 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/800_workers-12         	   41902	     24862 ns/op	     842 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/850_workers-12         	   43683	     25448 ns/op	     843 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/850_workers-12         	   40596	     28985 ns/op	     846 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/850_workers-12         	   43540	     25240 ns/op	     842 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/850_workers-12         	   41684	     25050 ns/op	     845 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/850_workers-12         	   47520	     24905 ns/op	     839 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/850_workers-12         	   43300	     25740 ns/op	     843 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/850_workers-12         	   41251	     26290 ns/op	     845 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/850_workers-12         	   45194	     25311 ns/op	     842 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/850_workers-12         	   45104	     23997 ns/op	     841 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/850_workers-12         	   46496	     24780 ns/op	     840 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   42349	     25636 ns/op	     847 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   41004	     25845 ns/op	     848 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   41395	     25767 ns/op	     848 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   45040	     24982 ns/op	     844 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   42524	     25478 ns/op	     846 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   42088	     24715 ns/op	     847 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   39500	     25433 ns/op	     849 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   42417	     25688 ns/op	     847 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   43068	     25171 ns/op	     845 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/900_workers-12         	   39499	     26469 ns/op	     849 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/950_workers-12         	   41463	     24822 ns/op	     855 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/950_workers-12         	   42042	     25335 ns/op	     850 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/950_workers-12         	   44700	     26009 ns/op	     847 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/950_workers-12         	   39332	     26811 ns/op	     853 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/950_workers-12         	   43707	     24786 ns/op	     847 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/950_workers-12         	   41784	     25500 ns/op	     849 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/950_workers-12         	   39298	     26033 ns/op	     853 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/950_workers-12         	   41180	     25552 ns/op	     850 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/950_workers-12         	   45862	     25407 ns/op	     845 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/950_workers-12         	   48342	     25250 ns/op	     844 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   41278	     25233 ns/op	     853 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   40904	     26758 ns/op	     854 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   42229	     26011 ns/op	     852 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   44713	     25154 ns/op	     849 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   43718	     27166 ns/op	     850 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   40561	     24764 ns/op	     853 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   41445	     25699 ns/op	     852 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   45946	     25759 ns/op	     848 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   43706	     25249 ns/op	     850 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1000_workers-12        	   47026	     25631 ns/op	     847 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1050_workers-12        	   44689	     25198 ns/op	     857 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1050_workers-12        	   42909	     26295 ns/op	     853 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1050_workers-12        	   41977	     26021 ns/op	     855 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1050_workers-12        	   44268	     24897 ns/op	     852 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1050_workers-12        	   43246	     25186 ns/op	     853 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1050_workers-12        	   44990	     26769 ns/op	     851 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1050_workers-12        	   43851	     26510 ns/op	     852 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1050_workers-12        	   38236	     27523 ns/op	     859 B/op	      16 allocs/op
BenchmarkDBWithConcurrencyNEW/1050_workers-12        	   43843	     24656 ns/op	     852 B/op	      16 allocs/op
